S.No.,transformer,Date & Time Stamp,V(R),V(Y),V(B),VRB,VRY,VYB,I(R),I(Y),I(B),kW,kVA,PF(R),PF(Y),PF(B),THD(V-R),THD(V-Y),THD(V-B),THD(I-R),THD(I-Y),THD(I-B),FREQUENCY,Frwd.kWh,REV.ACTENERGY,FRWD.APPENERGY,FRWD.REACTENERGY,kVA-R,kVA-Y,kVA-B,KVAH.FWD,KVAH.REV,kVAr-R,KVARH.LAG.FWD,KVARH.LAG.REV,KVARH.LEAD.FWD,KVARH.LEAD.REV,kVAr-Y,kVAr-B,kWH-Fwd,KWH.REV,kW-R,kW-Y,kW-B,kVA,REV.APPENERGY,REV.REACTENERGY,TOT.kVAh,TOT.KVARH.LEG,TOT.kWh/Fwd.kWh/Active Energy Sent Out,,TEMP4,TOT.KVAH,TOT.KVARH.LEG,TOT.KWH
327,SNO1000005,15-09-2022 09:59,231.5,230.2,229.3,94.6,101.3,121.9,72.39,72.6,1,1,0.99,1.8,2.1,2.1,1.06,1.11,0.63,404,395,401,50,"8,97,697.16",-,"9,10,441.34","1,38,79,447.00",1.95,"9,10,44,130.00",4,1.76,21.7,"1,38,79,447.00",3,"21,048.00","20,118.00",21.7,21.7,3.09,27.77,"8,97,69,699.00",-,21.7,22.93,2,6.81,4,3,655.35,0.32,0.82,652.3,"9,10,441.34","1,38,122.76","8,97,697.16"
328,SNO1000005,15-09-2022 09:57,231.1,230.1,229.2,92.8,96.8,120.3,70.54,70.7,1,1,0.99,1.7,2,2.2,0.96,1.19,0.74,404,395,401,50,"8,97,694.09",-,"9,10,438.25","1,38,79,415.00",1.73,"9,10,43,821.00",4,1.83,21.3,"1,38,79,415.00",3,"21,048.00","8,862.00",21.3,21.3,3.03,27.43,"8,97,69,392.00",-,21.24,21.88,2,6.59,4,3,2,1.84,2.71,652.34,"9,10,438.25","1,38,122.44","8,97,694.09"
329,SNO1000005,15-09-2022 09:52,232.1,229.2,230.2,101.2,106.5,123,75.36,75.7,1,1,0.99,1.6,1.8,2.1,0.92,1,0.55,406,395,401,50,"8,97,688.84",-,"9,10,432.96","1,38,79,353.00",1.84,"9,10,43,291.00",4,1.84,23.3,"1,38,79,353.00",3,"21,048.00","7,987.00",23.3,23.3,3.89,28.16,"8,97,68,867.00",-,23.28,23.92,2,7.57,4,3,3.71,2.98,4.42,652.43,"9,10,432.96","1,38,121.82","8,97,688.84"
330,SNO1000005,15-09-2022 09:50,232.3,229.3,230.7,92.7,110,115.9,72.69,72.9,1,1,0.99,1.9,1.8,2.4,1.02,1.13,0.66,406,395,401,50,"8,97,685.65",-,"9,10,429.75","1,38,79,318.00",1.53,"9,10,42,970.00",4,1.89,21.3,"1,38,79,318.00",3,"21,048.00","5,948.00",21.3,21.3,3.49,26.59,"8,97,68,548.00",-,21.3,24.79,2,6.91,4,3,5.08,3.82,5.82,652.52,"9,10,429.75","1,38,121.47","8,97,685.65"
331,SNO1000005,15-09-2022 09:47,232.2,229.6,231,100.6,118.7,119.1,76.8,77.4,0.99,1,0.98,1.9,1.9,2,1.41,1.09,0.63,406,397,400,50,"8,97,682.44",-,"9,10,426.51","1,38,79,280.00",1.71,"9,10,42,646.00",4,3.57,23,"1,38,79,280.00",3,"21,048.00","13,179.00",23,23,4.75,27.36,"8,97,68,227.00",-,22.8,26.64,2,10.03,4,3,3.77,3.15,4.42,652.52,"9,10,426.51","1,38,121.10","8,97,682.44"
332,SNO1000005,15-09-2022 09:44,233.2,229.9,231.4,85,137.7,109.2,75.89,76.1,0.99,1,0.99,2.1,2.1,2.1,1.09,1.05,0.55,407,398,400,50,"8,97,679.16",-,"9,10,423.20","1,38,79,240.00",1.42,"9,10,42,315.00",4,2.24,19.6,"1,38,79,240.00",3,"21,048.00","5,245.00",19.6,19.6,3.93,25.15,"8,97,67,898.00",-,19.53,31.21,2,7.58,4,3,4.97,3.97,5.58,652.51,"9,10,423.20","1,38,120.70","8,97,679.16"
333,SNO1000005,15-09-2022 09:42,233.1,230.3,231.8,77.7,122.1,119.5,72.81,73.3,0.98,1,0.99,2.4,1.9,2.3,1.03,1.11,0.74,407,398,401,50,"8,97,676.03",-,"9,10,420.04","1,38,79,206.00",2.09,"9,10,42,000.00",4,3.56,17.9,"1,38,79,206.00",3,"21,048.00","18,753.00",17.9,17.9,3.6,27.52,"8,97,67,585.00",-,17.59,27.7,1,9.25,4,3,6.7,4.93,7.42,652.61,"9,10,420.04","1,38,120.36","8,97,676.03"
334,SNO1000005,15-09-2022 09:39,234.3,230.2,232.1,62.4,141.6,91.8,67.52,67.9,0.99,1,0.99,2.1,2,2,1.79,0.99,0.79,407,399,402,50,"8,97,672.93",-,"9,10,416.93","1,38,79,170.00",1.87,"9,10,41,688.00",4,1.83,14.4,"1,38,79,170.00",3,"21,048.00","50,104.00",14.4,14.4,4.34,21.11,"8,97,67,276.00",-,14.29,32.12,1,8.03,4,3,7.08,5.08,7.89,652.63,"9,10,416.93","1,38,119.99","8,97,672.93"
335,SNO1000005,15-09-2022 09:37,234.4,230.1,233,57.6,122.7,87.1,61.03,61.4,1,1,0.99,2,1.7,2.2,1.52,1.17,0.73,410,399,402,49.9,"8,97,670.13",-,"9,10,414.11","1,38,79,137.00",1.93,"9,10,41,406.00",4,1,13.3,"1,38,79,137.00",3,"21,048.00","13,210.00",13.3,13.3,4.4,20.09,"8,97,66,996.00",-,13.27,27.68,1,7.33,4,3,7.86,6.22,8.25,652.62,"9,10,414.11","1,38,119.67","8,97,670.13"
336,SNO1000005,15-09-2022 09:34,234.8,231.7,232.6,52.3,118.4,80.3,57.43,57.7,1,0.99,0.99,2.2,2.1,2.1,1.69,1.02,0.86,409,400,402,49.9,"8,97,667.60",-,"9,10,411.56","1,38,79,109.00",2.78,"9,10,41,151.00",4,0.82,12,"1,38,79,109.00",3,"21,048.00","33,399.00",12,12,3.44,18.35,"8,97,66,743.00",-,12.04,27.05,2,7.04,4,3,11.96,8.08,12.78,652.85,"9,10,411.56","1,38,119.41","8,97,667.60"
337,SNO1000005,15-09-2022 09:31,236.1,230.5,233.8,46.2,141.7,87.9,63.31,63.6,1,0.99,1,2.4,2.6,2.2,1.57,0.84,0.83,410,403,400,49.9,"8,97,665.02",-,"9,10,408.95","1,38,79,075.00",3.01,"9,10,40,891.00",4,0.62,10.7,"1,38,79,075.00",3,"21,048.00","46,846.00",10.7,10.7,2.99,20.2,"8,97,66,485.00",-,10.72,32.39,1,6.62,4,3,8.68,6.02,9.51,652.81,"9,10,408.95","1,38,119.07","8,97,665.02"
338,SNO1000005,15-09-2022 09:30,234.7,231.1,233.4,62.1,124.6,86.6,62.59,63,1,0.99,0.99,2.3,2.3,2,1.33,0.83,0.89,410,398,405,49.9,"8,97,663.56",-,"9,10,407.48","1,38,79,058.00",3.17,"9,10,40,744.00",4,1.07,14.4,"1,38,79,058.00",3,"21,048.00","27,791.00",14.4,14.4,3.96,19.84,"8,97,66,339.00",-,14.38,28.37,1,8.2,4,3,8.68,6.02,9.51,652.81,"9,10,407.48","1,38,118.89","8,97,663.56"
339,SNO1000005,15-09-2022 09:27,234.9,230.8,233.8,71,124.9,80.1,63.29,63.6,1,0.99,0.99,2.6,2.2,2.3,1.14,0.93,1.09,410,399,402,49.9,"8,97,660.83",-,"9,10,404.72","1,38,79,019.00",2.34,"9,10,40,467.00",4,0.84,16.5,"1,38,79,019.00",3,"21,048.00","14,909.00",16.5,16.5,4.6,18.44,"8,97,66,066.00",-,16.53,28.32,1,7.78,4,3,9.11,6.5,9.8,652.81,"9,10,404.72","1,38,118.51","8,97,660.83"
340,SNO1000005,15-09-2022 09:25,235.3,231.8,233.8,68.5,124.4,83.9,63.69,64,1,1,0.99,2.6,2,2.4,0.92,1.43,0.79,411,401,403,49.9,"8,97,658.11",-,"9,10,401.98","1,38,78,990.00",1.89,"9,10,40,194.00",4,0.49,16,"1,38,78,990.00",3,"21,048.00","61,496.00",16,16,4.6,19.41,"8,97,65,794.00",-,16.01,28.27,1,6.98,4,3,8.23,5.84,8.95,652.71,"9,10,401.98","1,38,118.23","8,97,658.11"
341,SNO1000005,15-09-2022 09:22,235.2,232,234.1,79.1,118.1,91.3,66.58,66.8,1,0.99,0.99,2.1,2.3,2.3,0.97,1.18,0.95,412,400,407,49.9,"8,97,655.39",-,"9,10,399.24","1,38,78,958.00",2.61,"9,10,39,920.00",4,1.37,18.4,"1,38,78,958.00",3,"21,048.00","51,353.00",18.4,18.4,2.85,21.09,"8,97,65,522.00",-,18.42,27.07,1,6.83,4,3,8.5,5.46,9.53,652.68,"9,10,399.24","1,38,117.90","8,97,655.39"
342,SNO1000005,15-09-2022 09:20,234.9,232.9,233.8,79.2,118,83.5,64.86,65.2,1,0.99,0.99,1.7,1.6,2.7,0.8,0.73,0.87,412,401,404,49.8,"8,97,652.52",-,"9,10,396.36","1,38,78,927.00",2.41,"9,10,39,631.00",4,0.88,18.5,"1,38,78,927.00",3,"21,048.00","57,466.00",18.5,18.5,3.71,19.28,"8,97,65,235.00",-,18.48,27.1,1,7,4,3,6.1,4,7.06,652.53,"9,10,396.36","1,38,117.60","8,97,652.52"
343,SNO1000005,15-09-2022 09:17,234.7,233.6,233.8,83.7,101.4,85.7,62.61,62.9,1,1,0.99,1.9,2.1,2,0.77,0.63,0.88,412,402,405,49.9,"8,97,649.66",-,"9,10,393.47","1,38,78,896.00",2.08,"9,10,39,343.00",4,1.09,19.5,"1,38,78,896.00",3,"21,048.00","58,846.00",19.5,19.5,3.52,19.82,"8,97,64,948.00",-,19.52,23.27,2,6.69,4,3,3.27,2.53,4.03,652.44,"9,10,393.47","1,38,117.28","8,97,649.66"
344,SNO1000005,15-09-2022 09:14,235.4,234.4,234,58,89,94.1,55.83,56,1,1,0.99,2.3,2.1,2,1.17,1.36,0.72,414,402,409,50,"8,97,647.12",-,"9,10,390.92","1,38,78,869.00",1.9,"9,10,39,087.00",4,0.74,13.5,"1,38,78,869.00",3,"21,048.00","19,071.00",13.5,13.5,2.83,21.85,"8,97,64,695.00",-,13.5,20.48,2,5.47,4,3,3.66,2.59,4.53,652.45,"9,10,390.92","1,38,117.02","8,97,647.12"
345,SNO1000005,15-09-2022 09:12,235.2,234.1,234.4,67.7,84.9,80.9,53.91,54.2,1,0.99,0.99,2.2,2.2,2.1,1.22,1.23,0.89,412,402,409,49.9,"8,97,644.72",-,"9,10,388.50","1,38,78,839.00",2.07,"9,10,38,846.00",4,0.93,15.7,"1,38,78,839.00",3,"21,048.00","17,862.00",15.7,15.7,3.37,18.74,"8,97,64,455.00",-,15.74,19.42,2,6.37,4,3,3.19,2.35,4.03,652.41,"9,10,388.50","1,38,116.71","8,97,644.72"
346,SNO1000005,15-09-2022 09:08,236.5,235.1,233.8,49.5,81,77.8,47.83,48.3,1,0.99,0.98,2.3,2,1.8,1.52,1.32,0.78,414,403,409,49.9,"8,97,642.03",-,"9,10,385.78","1,38,78,805.00",2.98,"9,10,38,574.00",4,0.52,11.5,"1,38,78,805.00",3,"21,048.00","14,071.00",11.5,11.5,3.85,17.84,"8,97,64,186.00",-,11.53,18.46,2,7.35,4,3,2.82,2.24,3.6,652.44,"9,10,385.78","1,38,116.40","8,97,642.03"
347,SNO1000005,15-09-2022 09:06,236.7,234.8,234.3,48,79.2,68.8,44.92,45.4,1,0.98,0.98,2.2,2.3,2.1,1.47,1.23,1,414,402,409,49.9,"8,97,640.03",-,"9,10,383.75","1,38,78,775.00",3.02,"9,10,38,371.00",4,0.52,11.1,"1,38,78,775.00",3,"21,048.00","14,686.00",11.1,11.1,3.75,15.71,"8,97,63,986.00",-,11.19,18.02,2,7.29,4,3,2.95,2.19,3.82,652.45,"9,10,383.75","1,38,116.09","8,97,640.03"
348,SNO1000005,15-09-2022 09:03,236.8,235.5,234.4,47.9,72.8,73.1,44.73,45,1,0.99,0.99,2.1,2.1,1.8,1.55,1.37,0.77,413,403,410,50,"8,97,638.02",-,"9,10,381.71","1,38,78,746.00",2.23,"9,10,38,167.00",4,0.53,11.1,"1,38,78,746.00",3,"21,047.00",180,11.1,11.1,2.85,16.87,"8,97,63,785.00",-,11.15,16.71,2,5.61,4,3,3.15,2.55,3.83,652.41,"9,10,381.71","1,38,115.81","8,97,638.02"
349,SNO1000005,15-09-2022 09:01,237.2,235.7,234.2,52,92.6,79.6,51.83,52.2,1,0.99,0.98,1.7,2.4,1.7,1.34,1.18,0.82,413,406,408,50,"8,97,635.95",-,"9,10,379.63","1,38,78,719.00",2.52,"9,10,37,958.00",4,0.99,12.1,"1,38,78,719.00",3,"21,047.00",877,12.1,12.1,3.95,18.37,"8,97,63,578.00",-,12.16,21.3,2,7.46,4,3,3.2,2.18,4.11,652.46,"9,10,379.63","1,38,115.54","8,97,635.95"
350,SNO1000005,15-09-2022 08:57,237.3,235.5,235.1,48.4,92.9,78.3,50.89,51.3,1,0.99,0.98,1.9,2.4,2.1,1.54,0.71,0.77,414,404,411,50,"8,97,633.17",-,"9,10,376.82","1,38,78,685.00",2.14,"9,10,37,678.00",4,0.25,11.3,"1,38,78,685.00",3,"21,047.00","23,975.00",11.3,11.3,3.93,18.18,"8,97,63,300.00",-,11.31,21.39,2,6.32,4,3,2.59,1.74,3.53,652.42,"9,10,376.82","1,38,115.21","8,97,633.17"
351,SNO1000005,15-09-2022 08:55,236.6,235.2,235.6,55.3,93.3,66.9,49.95,50.2,1,1,0.99,1.9,1.9,2,1.16,1.05,1.12,415,403,411,50,"8,97,631.04",-,"9,10,374.68","1,38,78,658.00",1.65,"9,10,37,463.00",4,1.35,12.9,"1,38,78,658.00",3,"21,047.00","19,033.00",12.9,12.9,3.52,15.55,"8,97,63,087.00",-,12.89,21.51,2,6.51,4,3,1.14,0.8,2.11,652.36,"9,10,374.68","1,38,114.97","8,97,631.04"
352,SNO1000005,15-09-2022 08:52,237.1,235,235.8,49.2,95.4,76.9,51.5,51.7,1,1,0.99,2.2,1.9,2.1,1.39,1.08,0.8,414,406,409,50,"8,97,628.96",-,"9,10,372.58","1,38,78,634.00",1.37,"9,10,37,253.00",4,0.66,11.5,"1,38,78,634.00",3,"21,047.00","8,234.00",11.5,11.5,3.19,17.98,"8,97,62,879.00",-,11.49,22.03,2,5.22,4,3,1.16,0.97,2.04,652.32,"9,10,372.58","1,38,114.72","8,97,628.96"
353,SNO1000005,15-09-2022 08:50,237,235.3,235.7,54.5,99.1,69.2,51.88,52,1,1,0.99,2.2,2,2.1,1.18,1.04,0.94,414,406,409,50,"8,97,626.70",-,"9,10,370.31","1,38,78,612.00",1.28,"9,10,37,026.00",4,0.61,12.7,"1,38,78,612.00",3,"21,047.00","58,915.00",12.7,12.7,3.22,16.15,"8,97,62,653.00",-,12.78,22.94,2,5.12,4,3,1.42,1.04,2.36,652.36,"9,10,370.31","1,38,114.51","8,97,626.70"
354,SNO1000005,15-09-2022 08:47,237.8,235.4,235.2,44.6,100.7,83.6,53.4,53.4,-1,1,1,2.4,2.2,2.3,1.48,1.06,0.8,414,406,409,49.9,"8,97,624.40",-,"9,10,367.99","1,38,78,589.00",1.18,"9,10,36,795.00",4,-0.71,10.4,"1,38,78,589.00",3,"21,047.00","34,259.00",10.4,10.4,2.04,19.52,"8,97,62,423.00",-,10.44,23.44,2,3.92,4,3,0.84,0.87,1.65,652.3,"9,10,367.99","1,38,114.28","8,97,624.40"
355,SNO1000005,15-09-2022 08:45,237.5,235.3,235.5,46.7,104.3,74,52.11,52.5,1,0.99,0.99,2.1,2.1,2.3,1.43,1.09,0.86,410,402,413,49.9,"8,97,622.12",-,"9,10,365.69","1,38,78,561.00",3.04,"9,10,36,565.00",4,0.65,10.9,"1,38,78,561.00",3,"21,047.00","52,640.00",10.9,10.9,3.24,17.05,"8,97,62,195.00",-,10.92,24.15,2,6.94,4,3,1.05,1,1.89,652.37,"9,10,365.69","1,38,114.01","8,97,622.12"
356,SNO1000005,15-09-2022 08:40,237.6,235.7,235.3,47.6,99.8,89.6,54.49,55.4,0.99,0.98,0.98,1.7,2,2.1,1.52,1.07,0.42,414,406,409,49.9,"8,97,618.29",-,"9,10,361.83","1,38,78,512.00",4.35,"9,10,36,179.00",4,1.63,11.1,"1,38,78,512.00",3,"21,047.00","32,112.00",11.1,11.1,4.66,20.57,"8,97,61,812.00",-,11.04,22.88,2,10.63,4,3,1.59,1.44,2.36,652.35,"9,10,361.83","1,38,113.53","8,97,618.29"
357,SNO1000005,15-09-2022 08:38,237.8,236.3,235.9,58.6,96.7,81.6,55.26,55.5,1,0.99,0.99,1.7,1.8,2,1.11,1.15,0.71,416,407,409,50,"8,97,616.00",-,"9,10,359.51","1,38,78,482.00",2.36,"9,10,35,947.00",4,0.72,13.8,"1,38,78,482.00",3,"21,047.00","25,780.00",13.8,13.8,3.16,19.02,"8,97,61,583.00",-,13.79,22.45,2,6.24,4,3,2.74,2.17,3.53,652.39,"9,10,359.51","1,38,113.24","8,97,616.00"
358,SNO1000005,15-09-2022 08:35,237.7,236.5,235.6,65.1,94,74.6,54.55,54.7,-1,0.98,1,1.7,1.9,1.6,0.95,1.23,0.87,414,407,409,50,"8,97,613.61",-,"9,10,357.11","1,38,78,455.00",3.12,"9,10,35,706.00",4,-0.29,15.3,"1,38,78,455.00",3,"21,047.00","54,442.00",15.3,15.3,1.03,17.19,"8,97,61,344.00",-,15.34,22.01,2,4.45,4,3,2.51,2.32,3.16,652.39,"9,10,357.11","1,38,112.98","8,97,613.61"
359,SNO1000005,15-09-2022 08:33,237.3,236.3,236.1,68.4,96.5,77,56.25,56.6,1,0.98,0.99,1.8,1.9,1.9,0.97,1.19,0.69,417,407,410,50,"8,97,611.18",-,"9,10,354.65","1,38,78,428.00",3.78,"9,10,35,461.00",4,0.43,16,"1,38,78,428.00",3,"21,047.00","8,631.00",16,16,2.47,17.7,"8,97,61,101.00",-,16.09,22.47,2,6.67,4,3,4.6,3.8,5.15,652.5,"9,10,354.65","1,38,112.79","8,97,611.18"
360,SNO1000005,15-09-2022 08:30,237.3,236.8,235.8,71.7,97.8,78.8,58.03,58.2,1,0.99,1,1.8,2,1.6,1.05,1.26,0.79,416,407,409,50,"8,97,608.78",-,"9,10,352.22","1,38,78,396.00",3.05,"9,10,35,218.00",4,0.11,16.8,"1,38,78,396.00",3,"21,047.00","24,431.00",16.8,16.8,2.24,18.22,"8,97,60,861.00",-,16.9,22.91,2,5.4,4,3,6,4.42,6.73,652.67,"9,10,352.22","1,38,112.57","8,97,608.78"
361,SNO1000005,15-09-2022 08:29,236.9,236.6,236,82.5,92.9,77.3,58.97,59.2,1,0.99,0.99,2.1,2,1.8,0.28,1.22,0.87,416,404,412,50,"8,97,607.55",-,"9,10,350.99","1,38,78,384.00",2.92,"9,10,35,095.00",4,0.19,19.4,"1,38,78,384.00",3,"21,047.00","37,588.00",19.4,19.4,2.56,17.89,"8,97,60,738.00",-,19.45,21.63,2,5.67,4,3,6,4.42,6.73,652.67,"9,10,350.99","1,38,112.50","8,97,607.55"
362,SNO1000005,15-09-2022 08:25,237.1,236.5,236.4,72.9,91.9,92.7,60.24,60.4,1,1,0.99,1.8,1.7,1.9,1.06,1.23,0.67,417,405,412,50,"8,97,604.24",-,"9,10,347.65","1,38,78,351.00",1.98,"9,10,34,761.00",4,1.06,17.1,"1,38,78,351.00",3,"21,047.00","17,984.00",17.1,17.1,2.38,21.72,"8,97,60,407.00",-,17.12,21.4,1,5.42,4,3,6.81,5.16,7.38,652.67,"9,10,347.65","1,38,112.17","8,97,604.24"
363,SNO1000005,15-09-2022 08:23,237,236.1,236.3,96.5,99.6,79.4,64.19,64.6,1,0.99,0.99,2.1,2.7,1.8,0.82,0.82,0.86,417,405,412,50,"8,97,601.64",-,"9,10,345.04","1,38,78,321.00",2.82,"9,10,34,499.00",4,1.51,22.7,"1,38,78,321.00",3,"21,047.00","54,118.00",22.7,22.7,3.93,18.46,"8,97,60,147.00",-,22.7,23.02,1,8.26,4,3,8.76,5.81,9.66,652.75,"9,10,345.04","1,38,111.87","8,97,601.64"
364,SNO1000005,15-09-2022 08:20,236.9,236.4,236.3,96.4,103.1,83.6,66.12,66.4,1,0.99,0.99,1.8,1.7,1.8,0.95,1.13,0.81,414,404,412,50,"8,97,598.83",-,"9,10,342.21","1,38,78,288.00",2.35,"9,10,34,217.00",4,1.8,22.6,"1,38,78,288.00",3,"21,047.00","29,625.00",22.6,22.6,3.23,19.51,"8,97,59,866.00",-,22.62,23.99,1,7.38,4,3,6.55,4.2,7.58,652.53,"9,10,342.21","1,38,111.54","8,97,598.83"
365,SNO1000005,15-09-2022 08:18,237.7,236.9,236.1,71.1,79.1,85.6,54.97,55.3,1,0.99,0.99,1.8,2,1.7,1.21,1.31,0.85,415,405,412,50,"8,97,596.08",-,"9,10,339.44","1,38,78,254.00",2.42,"9,10,33,939.00",4,1.5,16.7,"1,38,78,254.00",3,"21,047.00","46,596.00",16.7,16.7,2.76,19.98,"8,97,59,591.00",-,16.66,18.33,2,6.68,4,3,1.39,1.8,1.9,652.34,"9,10,339.44","1,38,111.20","8,97,596.08"
366,SNO1000005,15-09-2022 08:15,237.8,236.9,236.6,68.1,75,100.3,56.93,57.1,0.99,0.99,0.99,2.2,2.3,2.1,1.2,1.27,0.51,417,405,412,50,"8,97,593.75",-,"9,10,337.09","1,38,78,226.00",2.49,"9,10,33,704.00",4,1.78,16,"1,38,78,226.00",3,"21,047.00","50,573.00",16,16,1.91,23.52,"8,97,59,358.00",-,15.94,17.48,1,6.17,4,3,7.16,4.95,7.95,652.52,"9,10,337.09","1,38,110.92","8,97,593.75"
367,SNO1000005,15-09-2022 08:12,237.6,236.2,237.1,89.7,86.5,73.2,58.26,58.5,1,1,0.99,1.9,2.1,1.7,1.01,1,1.44,416,405,413,50,"8,97,591.21",-,"9,10,334.53","1,38,78,199.00",1.5,"9,10,33,449.00",4,1.31,21.1,"1,38,78,199.00",3,"21,047.00","10,936.00",21.1,21.1,3.48,17.15,"8,97,59,104.00",-,21.13,19.98,2,6.29,4,3,5.04,3.15,6.08,652.44,"9,10,334.53","1,38,110.65","8,97,591.21"
368,SNO1000005,15-09-2022 08:10,237.7,236.2,237.1,74.7,81.9,66.1,52.06,52.2,1,0.99,0.99,2.2,2.2,2.1,1.16,1.27,0.89,418,405,413,50,"8,97,588.69",-,"9,10,332.00","1,38,78,174.00",2.07,"9,10,33,195.00",4,1,17.6,"1,38,78,174.00",3,"21,047.00","18,655.00",17.6,17.6,2.18,15.44,"8,97,58,852.00",-,17.58,19.04,2,5.24,4,3,3.09,1.96,4.09,652.44,"9,10,332.00","1,38,110.41","8,97,588.69"
369,SNO1000005,15-09-2022 08:07,237.6,236.2,236.8,76.3,92.3,78.2,57.07,57.9,0.99,0.98,0.98,2.2,2.2,2,1.02,1.1,0.57,417,405,412,50,"8,97,586.38",-,"9,10,329.67","1,38,78,144.00",3.87,"9,10,32,962.00",4,2.4,17.9,"1,38,78,144.00",3,"21,047.00","27,176.00",17.9,17.9,4.24,18.03,"8,97,58,621.00",-,17.82,21.23,2,10.51,4,3,655.1,0.17,0.55,652.36,"9,10,329.67","1,38,110.11","8,97,586.38"
370,SNO1000005,15-09-2022 08:05,237.7,237.1,236.3,88.1,83,68.1,56.03,56.1,1,1,0.99,2,1.7,2.2,0.89,1.43,0.94,417,406,413,49.9,"8,97,584.07",-,"9,10,327.34","1,38,78,119.00",1.28,"9,10,32,729.00",4,1.25,20.8,"1,38,78,119.00",3,"21,047.00","39,104.00",20.8,20.8,2.61,15.94,"8,97,58,390.00",-,20.78,19.31,2,5.14,4,3,1.09,1.57,1.67,652.3,"9,10,327.34","1,38,109.86","8,97,584.07"
371,SNO1000005,15-09-2022 08:02,238.3,236.1,236.9,77.5,79.9,83.5,56.33,56.5,1,1,0.99,2.1,2,2.2,1.02,1.26,0.93,416,406,412,50,"8,97,581.80",-,"9,10,325.05","1,38,78,096.00",1.12,"9,10,32,501.00",4,1.37,18.3,"1,38,78,096.00",3,"21,047.00","20,124.00",18.3,18.3,2.98,19.63,"8,97,58,163.00",-,18.28,18.42,2,5.47,4,3,5.71,4.46,6.28,652.48,"9,10,325.05","1,38,109.63","8,97,581.80"
372,SNO1000005,15-09-2022 07:59,237.4,235.8,236.9,76,104.2,88.2,62.03,63,0.98,0.99,0.98,2,2.1,1.6,0.9,1.02,0.66,415,406,409,50,"8,97,579.05",-,"9,10,322.29","1,38,78,065.00",2.61,"9,10,32,225.00",4,3.37,17.9,"1,38,78,065.00",3,"21,047.00","4,062.00",17.9,17.9,5.37,20.64,"8,97,57,888.00",-,17.6,23.79,1,11.35,4,3,6.74,5.21,7.26,652.54,"9,10,322.29","1,38,109.33","8,97,579.05"
373,SNO1000005,15-09-2022 07:56,237.6,235.6,236.8,72.5,96.3,89,60.06,60.4,1,1,0.98,2,1.9,2.2,1.06,1.3,0.74,417,406,409,50,"8,97,575.86",-,"9,10,319.07","1,38,78,026.00",1.72,"9,10,31,902.00",4,1.71,17.1,"1,38,78,026.00",3,"21,047.00","44,690.00",17.1,17.1,4,20.91,"8,97,57,569.00",-,17.02,22.13,1,7.43,4,3,9.16,6.46,9.83,652.73,"9,10,319.07","1,38,108.93","8,97,575.86"
374,SNO1000005,15-09-2022 07:52,238.1,236.6,236.7,61.1,92.3,67.5,51.28,51.8,0.99,1,0.98,1.9,1.9,1.9,1.11,1.16,1.03,418,406,412,50,"8,97,572.06",-,"9,10,315.22","1,38,77,972.00",1.43,"9,10,31,518.00",4,1.54,14.4,"1,38,77,972.00",3,"21,047.00","46,931.00",14.4,14.4,4.61,15.78,"8,97,57,189.00",-,14.35,21.15,1,7.58,4,3,6.26,4.2,7.16,652.56,"9,10,315.22","1,38,108.39","8,97,572.06"
375,SNO1000005,15-09-2022 07:49,238.1,236.2,237.2,72.7,106.6,66.2,57.16,57.6,1,0.99,0.98,2.1,2.2,2.1,0.89,1.08,1.05,419,406,413,50,"8,97,569.71",-,"9,10,312.85","1,38,77,940.00",1.87,"9,10,31,280.00",4,1.37,17.2,"1,38,77,940.00",3,"21,047.00","9,673.00",17.2,17.2,4.81,15.47,"8,97,56,954.00",-,17.16,24.53,2,8.06,4,3,4.5,3.13,5.34,652.49,"9,10,312.85","1,38,108.08","8,97,569.71"
376,SNO1000005,15-09-2022 07:47,237.6,236.2,236.7,72.5,98.7,67.3,55.45,56,0.99,0.99,0.99,2.1,2.2,2.1,0.94,1.08,0.95,417,407,410,50,"8,97,567.29",-,"9,10,310.41","1,38,77,908.00",1.72,"9,10,31,037.00",4,2.54,17.1,"1,38,77,908.00",3,"21,047.00","51,900.00",17.1,17.1,3.9,15.71,"8,97,56,712.00",-,16.93,22.81,2,8.16,4,3,3.06,1.83,4.17,652.49,"9,10,310.41","1,38,107.75","8,97,567.29"
377,SNO1000005,15-09-2022 07:44,237,235.6,236.2,69,97.5,77.1,56.71,56.9,0.99,0.99,0.99,1.7,1.9,2,0.97,1.12,0.92,417,406,409,50,"8,97,564.90",-,"9,10,307.99","1,38,77,874.00",1.94,"9,10,30,795.00",4,2.05,16.2,"1,38,77,874.00",3,"21,047.00","13,838.00",16.2,16.2,2.72,17.98,"8,97,56,473.00",-,16.1,22.63,2,6.71,4,3,1.34,1.64,1.97,652.32,"9,10,307.99","1,38,107.41","8,97,564.90"
378,SNO1000005,15-09-2022 07:41,237.2,235,236.5,62.9,93.6,62.9,50.84,51.3,0.99,0.99,0.99,2.5,2.1,2.4,1,1.17,1.11,417,404,411,49.9,"8,97,562.60",-,"9,10,305.66","1,38,77,840.00",2.03,"9,10,30,562.00",4,2.42,14.8,"1,38,77,840.00",3,"21,047.00","57,373.00",14.8,14.8,2.84,14.61,"8,97,56,243.00",-,14.61,21.62,2,7.29,4,3,2.63,2.94,3.01,652.48,"9,10,305.66","1,38,107.07","8,97,562.60"
